id,title,description,tiny_description,short_description,medium_description,long_description,price,shelf_time,campus_id,last_update,archived,taxable,category_names,vendor,source,notes,total_cal,num_servings,ingredients,calories,proteins,sugar,carbohydrates,fat,consumer_category,ws_case_size,kiosk_ship_qty,pick_station,fc_title,width_space,height_space,depth_space,slotted_width,tag_volume,delivery_option,tag_applied_by,,,,,
3202,Vegetarian Egg Breakfast Burrito,.,null,null,null,null,6.5,5,87,1494463737,1,0,"Breakfast Burritos, Sandwiches & Wraps;Sandwiches, Wraps & Burritos",Delicious!,Delicious!,null,999,1,"flour tortilla, scrambled eggs, mushrooms, onions, green peppers, zucchini, roasted potatoes, cheddar cheese, pico de gallo",9999,null,null,null,null,Breakfast,4,1,3,null,null,null,null,null,null,M,null,,,,,
3203,Coco Libre Coconut Water,"Organic Coconut Water From Concentrate, Natural Flavors",null,null,null,null,3.8,180,87,1471227653,1,0,drinks;Other Beverage,Coco Libre,Good Stuff,null,999,1,"Organic Coconut Water From Concentrate, Natural Flavors.",999,null,null,null,null,Drinks,null,null,null,null,null,null,null,null,null,M,null,,,,,
3204,Blue Bottle New Orleans Style Iced Coffee,"Clover organic milk, organic chicory, organic cane sugarClover organic milk, organic chicory, organic cane sugar",null,null,null,null,4.25,1,87,1452712421,1,0,drinks,,null,null,null,null,null,null,null,null,null,null,Drinks,null,null,null,null,null,null,null,null,null,M,null,,,,,
3205,Winter Salad,.,null,null,null,null,7.95,5,87,1480605316,1,0,Other Salad;salads,Delicious!,Delicious!,null,999,1,null,999,null,null,null,null,Soups & Salads,null,null,null,null,null,null,null,null,null,M,null,,,,,
3206,Real Wraps Breakfast Burrito,.,null,null,null,null,5.5,10,87,1470190685,1,0,"Burrito & similar;Sandwiches, Wraps & Burritos",Real Wraps,Natural Choice,null,999,1,null,999,null,null,null,null,Burritos,null,null,null,null,null,null,null,null,null,M,null,,,,,
3208,Chinese Chicken Salad,.,null,null,null,null,7.95,5,87,1469041888,1,0,Lettuce & Vegetable Salad;salads,Delicious!,Delicious!,null,999,1,null,999,null,null,null,null,Soups & Salads,null,null,null,null,null,null,null,null,null,M,null,,,,,
3213,Southwest Chicken Caesar Salad,,null,null,null,null,7.95,5,87,1470190649,1,0,Lettuce & Vegetable Salad / Salads,Delicious!,Delicious!,null,null,null,null,null,null,null,null,null,Soups & Salads,null,null,null,null,null,null,null,null,null,M,null,,,,,
3214,Urban Remedy Zen Salad,,null,null,null,null,7.75,1,87,1446897995,1,0,salad,null,null,null,null,null,null,null,null,null,null,null,Drinks,null,null,null,null,null,null,null,null,null,M,null,,,,,
3215,Pad Thai Salad with Tofu,,null,null,null,null,7.95,1,87,1456165511,1,0,entree,,null,null,null,null,null,null,null,null,null,null,Soups & Salads,null,null,null,null,null,null,null,null,null,M,null,,,,,
3216,Tea's Tea - Peach Ginger Black Tea,.,null,null,null,null,1.99,180,87,1470190629,1,0,drinks;tea,Ito En,Good Stuff,null,80,1,null,80,null,null,null,null,Drinks,null,null,null,null,null,null,null,null,null,M,null,,,,,
